 , .1,Unnamed: 2,Unnamed: 3
Fresh Karahi/Korma,,,
,Items Description,Half,Full
,Chicken Karahi,30,54
,Mutton Karahi,30,60
,Chicken White Handi,36,60
,Chicken Achari Karahi,35,60
,Chicken Boneless Handi,,24
,Charsi Karahi (Special),42,72
,,,
,Chicken Korma,12,18
,Mutton Korma,12,18
,Aalo Qeema ,10,15
,Karela Gosht,,16
,Bhindi Gosht,,16
,Palak Gosht,,16
,,,
Daal,,,
,Items Description,Half,Full
,Shahi Daal,,15
,Chicken Daal,,15
,Masoor Daal,,10
,Chana Daal,,10
,Mash Daal,,10
,Red Lobia,,10
,,,
Biryani/Pulao,,,
,Items Description,Half,Full
,Chicken Biryani,12,18
,Mutton Biryani,12,18
,Chicken Pulao,12,18
,Mutton Pulao,12,18
,Afghani Pulao,12,18
,Chana Pulao,6,12
,Fried Rice,,20
,Zarda(Sweet),,10
,Hareesa,7,12
,,,
Vegitables,,,
,Items Description,Half,Full
,Aalo Gobhi,7,12
,Aalo Palak,7,12
,Aalo Mutter,7,12
,Mix Vegitable,7,12
,Bhindi Masala,10,15
,Karela,10,15
,Kari Pakora,10,15
,Aalo Shimla,7,12
,Saljam Mutter,7,12
,khosa,7,12
,Anda Burji,8,15
,,,
,,,
Breakfast,,,
,Items Description,,
,Moli Paratha,6,
,Aalo Paratha,6,
,Qeema Paratha,7,
,Gobhi Paratha,7,
,Simple Paratha,2,
,Single Omlet,3,
,Double Omlet,6,
,Half Fry Egg,4,
,Boiled Egg,2,
,Chana,6,
,Chicken Chana,10,
,Brain Masala,10,
,Kaleji,12,
,Paya,16,
,Tandori Roti,2,
,Roghni Nan,4,
,Garlic Nan,4,
,Butter Naan,4,
,Simple Nan,3,
,,,
B.B.Q,,,
,Items Description,Half,Full
,Charcoal Grill,30,55
,Chicken Malai Boti,20,30
,Chicken Tikka Boti,17,27
,Chicken Leg,,12
,Chicken Chest,,14
,Beef Kabab,17,27
,Beef Dhaga Kabab Plate,,25
,Reshmi Kabab,20,30
,Chapli Kabab,,10
,Fish Fry,35,60
,Fish Grill,40,65
,Mix Palter,,65
,Tikka Role,,10
,,,
Fresh Juices/Cold Beverage,,,
,Items Description,Half,Full
,Banana Shake,12,15
,Mango Shake,12,15
,Avacado Juice,12,15
,Watermelon Juice,10,12
,Orange Juice,12,15
,Pine Apple Juice,12,15
,Kiwi Juice,12,15
,Lemon Juice,10,12
,Lemon Mint Juice,12,15
,Pomegranate Juice,12,15
,Sweet Melan Juice,12,15
,Cocktail Juice,,18
,Papaya Juice,12,15
,Grapes Juice,12,15
,Fruit Salid,,15
,Cold Drink Small,,4
,Cold Dring Big,,6
,Water Small,,1
,Water Big,,2
,,,
Hot Beverage,,,
,Items Description,,
,Black Coffee,3,
,Fresh Milk Coffee,4,
,Fresh Milk Tea,4,
,Green Tea,2,
,Sulemani Tea,2,
,Karak Tea,2,
,Milk,4,
,Horlicks,3,
,,,
Pakistani Special,,,
,Items Description,,
,Dahi Bahaly,7,
,Gol Gappy,7,
,Chana Chat,7,
,Kher,5,
